"Position","Tarjeta","Marca","tags","Precios"
22,"KIA Picanto
1.25 GT Line Summa
Bogota
42.520 Km
2017
Placa **4
$39.990.000
Cuota mes aprox.*
$713.707
Contactar vendedor","KIA Picanto
1.25 GT Line Summa","Bogota
42.520 Km
2017
Placa **4","$39.990.000
Cuota mes aprox.*
$713.707"
23,"Chevrolet Beat
1.2 LTZ
Bogota
38.100 Km
2022
Placa **4
$47.500.000
Cuota mes aprox.*
$847.740
Contactar vendedor","Chevrolet Beat
1.2 LTZ","Bogota
38.100 Km
2022
Placa **4","$47.500.000
Cuota mes aprox.*
$847.740"
24,"Nissan Kicks
Sense
Bogota
43.000 Km
2019
Placa **9
$72.800.000
Cuota mes aprox.*
$1.299.273
Contactar vendedor","Nissan Kicks
Sense","Bogota
43.000 Km
2019
Placa **9","$72.800.000
Cuota mes aprox.*
$1.299.273"
25,,,,
26,"Chevrolet Onix
1.4 LTZ Mecanico
Bogota
8.872 Km
2023
Placa **9
$67.000.000
Cuota mes aprox.*
$1.195.759
Contactar vendedor","Chevrolet Onix
1.4 LTZ Mecanico","Bogota
8.872 Km
2023
Placa **9","$67.000.000
Cuota mes aprox.*
$1.195.759"
27,"Hyundai Accent
Advance
Bogota
20.597 Km
2023
Placa **2
$66.990.000
Cuota mes aprox.*
$1.195.581
Contactar vendedor","Hyundai Accent
Advance","Bogota
20.597 Km
2023
Placa **2","$66.990.000
Cuota mes aprox.*
$1.195.581"
28,"Mini Cooper
Coupe
Bogota
89.373 Km
2009
Placa **6
$41.990.000
Cuota mes aprox.*
$749.402
Contactar vendedor","Mini Cooper
Coupe","Bogota
89.373 Km
2009
Placa **6","$41.990.000
Cuota mes aprox.*
$749.402"
29,"Toyota Fortuner
4.0 Automatica Gasolina
Bogota
12.500 Km
2022
Placa **6
$259.990.000
Cuota mes aprox.*
$4.640.083
Contactar vendedor","Toyota Fortuner
4.0 Automatica Gasolina","Bogota
12.500 Km
2022
Placa **6","$259.990.000
Cuota mes aprox.*
$4.640.083"
30,"Mazda CX-3
Touring Aut
Bogota
45.000 Km
2017
Placa **0
$76.500.000
Cuota mes aprox.*
$1.365.307
Contactar vendedor","Mazda CX-3
Touring Aut","Bogota
45.000 Km
2017
Placa **0","$76.500.000
Cuota mes aprox.*
$1.365.307"
31,"Chevrolet Onix
1.4 LTZ Mecanico
Bogota
64.000 Km
2018
Placa **3
$39.900.000
Cuota mes aprox.*
$712.101
Contactar vendedor","Chevrolet Onix
1.4 LTZ Mecanico","Bogota
64.000 Km
2018
Placa **3","$39.900.000
Cuota mes aprox.*
$712.101"
32,"Renault Sandero
Zen
Cali
100 Km
2017
Placa **0
$36.000.000
Cuota mes aprox.*
$642.497
Contactar vendedor","Renault Sandero
Zen","Cali
100 Km
2017
Placa **0","$36.000.000
Cuota mes aprox.*
$642.497"
33,"JEEP Compass
Limited 4x4 Aut
Bogota
98.000 Km
2014
Placa **0
$60.900.000
Cuota mes aprox.*
$1.086.892
Contactar vendedor","JEEP Compass
Limited 4x4 Aut","Bogota
98.000 Km
2014
Placa **0","$60.900.000
Cuota mes aprox.*
$1.086.892"
34,"Volkswagen Taos
1.4 Comfortline Select
Manizales
36.600 Km
2022
Placa **6
$125.000.000
Cuota mes aprox.*
$2.230.895
Contactar vendedor","Volkswagen Taos
1.4 Comfortline Select","Manizales
36.600 Km
2022
Placa **6","$125.000.000
Cuota mes aprox.*
$2.230.895"
